,,,,,,,,,,,,,,,
,,"Français","Anglais","ie","ouralique","finnois","hongrois","altaïque","turc","japonais","paleosiberien","étrusque","sémitique","kartvélien","dravidien"
,,,,,,,,,,,,,,,
,1,"je",,"eghom",,"mina","en",,"ben",,,,,,
,2,"tu, vous (formel)",,"tu",,"sinua","te",,"sen,siz",,,,,,
,3,"il",,"ei",,"han,se","ast",,"o",,,,,,
,4,"nous",,"wey",,"me","mi",,"biz",,,,,,
,5,"vous (pluriel)",,"yu",,"te","makuk,önök",,"siz",,,,,,
,6,"ils",,,,"he,ne","ök",,"onlar",,,,,,
,7,"ceci, celui-ci",,"kos,kod",,"tama","est",,"bu",,,,,,
,8,"cela, celui-là",,"so,tod",,"tuo,etta","az,hogy",,"o",,,,,,
,9,"ici",,,,"taallaa","itt,ide",,"burada",,,,,,
,10,"là",,,,"siella,tuolla","ott,oda",,"orada",,,,,,
,11,"qui",,"kwis,kwod",,"kuka,yoka","ki,aki",,"kim",,,,,,
,12,"quoi",,,,"mika,mita","mi,ami",,"ne",,,,,,
,13,"où",,,,"missa","hol,ahol,hova,ahova",,"nerede",,,,,,
,14,"quand",,,,"koska,milloin,kun","mikor,amikor",,"ne zaman",,,,,,
,15,"comment",,,,"miten,kuinka","hogy,ahogy",,"nasil",,,,,,
,16,"ne ... pas",,"ne",,"ei","nem,ne",,"m,ayir",,,,,,
,17,"tout",,,,"kaikki","egess,minden,mig",,,,,,,,
,18,"beaucoup",,,,"moni,palyon","Sok",,"tSok",,,,,,
,19,"quelques",,"kaylo,solwo",,"jokin","nehany",,"birkatS",,,,,,
,20,"peu",,,,"nahan","keveS,kiS",,"az",,,,,,
,21,"autre",,"alyos",,"muut","maS",,"batSka",,,,,,
,22,"un",,"hoynos",,"üksi","egyes",,"birkatS",,,,,,
,23,"deux",,"dwo",,"kaksi","kettö,kettes",,"iki",,,,,,
,24,"trois",,"treyes",,"kolme","harom,harmas",,"ütS",,,,,,
,25,"quatre",,"kwetwores",,"nelya","negyes",,"dört",,,,,,
